id,titulo,marca,modelo,ano,condicao,preco_valor,preco_moeda,loja,url
90739969,GIBSON L-7C SUNBURST de 1961,Gibson,GIBSON L-7C SUNBURST de 1961,1961,Very Good,11070.54,USD,Le Guitarium,https://reverb.com/item/90739969-gibson-l-7c-sunburst-de-1961
99476162,🌟 GOLDEN ERA MASTERPIECE: 1951 GIBSON L-4C ARCHTOP 🌟,Gibson,L-4C,1951,Very Good,4695.00,USD,The Music Guild,https://reverb.com/item/99476162-golden-era-masterpiece-1951-gibson-l-4c-archtop
97630722,Gibson L-7-C 1952 - sunburst,Gibson,L-7-C,1952,Very Good,7200.00,USD,Stevie's Guitars at Lays,https://reverb.com/item/97630722-gibson-l-7-c-1952-sunburst
92565652,Gibson L4C 1956 - Blonde - OHSC,Gibson,l4C,1956,Excellent,7250.00,USD,Shore Point Vintage Guitars ,https://reverb.com/item/92565652-gibson-l4c-1956-blonde-ohsc
2735903,Gibson L4C 1952 Natural,Gibson,L4C,1952,Very Good,7500.00,USD,Bill's Music,https://reverb.com/item/2735903-gibson-l4c-1952-natural
94928864,Gibson L7C 1965 - Sunburst,Gibson,L7C,1965,Excellent,7995.00,USD,Best guitars,https://reverb.com/item/94928864-gibson-l7c-1965-sunburst
91384939,1967 Gibson L-4C Sunburst RARE L4 Archtop Hollowbody Carved Top ES-175 American Vintage 60s 1960's Kalamazoo USA Custom Order Pre CES L4CES,Gibson,L-4C,1967,Excellent,8422.03,USD,Randy's Guitar Collection,https://reverb.com/item/91384939-1967-gibson-l-4c-sunburst-rare-l4-archtop-hollowbody-carved-top-es-175-american-vintage-60s-1960-s-kalamazoo-usa-custom-order-pre-ces-l4ces
91704893,Gibson L7C Black 1950,Gibson,L7C,1950,Good,8000.00,USD,Chicago Music Exchange,https://reverb.com/item/91704893-gibson-l7c-black-1950
95024024,"Gibson L-4C Archtop Guitar, 1958, Sunburst Finish, Original Brown Case",Gibson,L-4C,1958,Very Good,4999.00,USD,Clark's Music,https://reverb.com/item/95024024-gibson-l-4c-archtop-guitar-1958-sunburst-finish-original-brown-case
99187290,Gibson Custom Shop Gibson 2023 1942 Banner J-45 Murphy Lab Light Aged,Gibson,Gibson 2023 1942 Banner J-45 Murphy Lab Light Aged,2023,Very Good,4902.86,USD,TC GAKKI,https://reverb.com/item/99187290-gibson-custom-shop-gibson-2023-1942-banner-j-45-murphy-lab-light-aged
