id,titulo,marca,modelo,ano,condicao,preco_valor,preco_moeda,loja,url
100449120,Goodwood Audio Output TX 2010s - Black/Gold,Goodwood Audio,Output TX,2010s,Very Good,99.00,USD,Todd's Gear Depot,https://reverb.com/item/100449120-goodwood-audio-output-tx-2010s-black-gold
100449162,Universal Audio Apollo x6 Thunderbolt 3 Audio Interface 2018 - Present - Black,Universal Audio,Apollo x6 Thunderbolt 3 Audio Interface,2018 - Present,Good,1478.95,USD,Reds Shop,https://reverb.com/item/100449162-universal-audio-apollo-x6-thunderbolt-3-audio-interface-2018-present-black
100449187,Vintage Ludwig Drum Tuning Key and Rail Consolette Hex Wrench Set,Ludwig,Vintage Ludwig Drum Tuning Key and Rail Consolette Hex Wrench Set,1960s-1970s,Excellent,39.99,USD,Drugan's Drums & Guitars ,https://reverb.com/item/100449187-vintage-ludwig-drum-tuning-key-and-rail-consolette-hex-wrench-set
100449142,"OPEN BOX Hartke HyDrive Series 112C 1x12"" 250-Watt Bass Guitar Combo Amplifier",Hartke,"HyDrive Series 112C 1x12"" 250-Watt",,Excellent,429.97,USD,JD Toyz,https://reverb.com/item/100449142-open-box-hartke-hydrive-series-112c-1x12-250-watt-bass-guitar-combo-amplifier
100449180,Vintage KORG WT-10A Analog Chromatic Tuner Made in Japan w/ Original Box,Dunlop,WT-10A,1985?,Very Good,79.95,USD,Butler Music,https://reverb.com/item/100449180-vintage-korg-wt-10a-analog-chromatic-tuner-made-in-japan-w-original-box
100449140,Torso Electronics T-1 Euclidian Algorithmic Sequencer,Torso Electronics,T-1,2024,Excellent,525.85,USD,BoTS,https://reverb.com/item/100449140-torso-electronics-t-1-euclidian-algorithmic-sequencer
100448882,Ovation CE48P Celebrity Elite Exotic 2020’s - Regal to Natural Blue,Ovation,CE48P Celebrity Elite Exotic,2020’s,Excellent,492.98,USD,Madaran Music,https://reverb.com/item/100448882-ovation-ce48p-celebrity-elite-exotic-2020-s-regal-to-natural-blue
100449161,Deering Tenbrooks Saratoga Star Banjo,Deering,Tenbrooks Saratoga Star Banjo,,Brand New,6549.00,USD,"Morgan Music Service in Lebanon, MO",https://reverb.com/item/100449161-deering-tenbrooks-saratoga-star-banjo
100449054,Greer Lightspeed Organic Overdrive 2010s - Various,Greer,Lightspeed Organic Overdrive,2010s,Excellent,200.00,USD,Gear Mover,https://reverb.com/item/100449054-greer-lightspeed-organic-overdrive-2010s-various
100449174,Ludwig Ratchet Torque Wrench Drum Key Standard - Red,Ludwig,Ludwig Ratchet Torque Wrench Drum Key Standard - Red,,Excellent,45.00,USD,Drugan's Drums & Guitars ,https://reverb.com/item/100449174-ludwig-ratchet-torque-wrench-drum-key-standard-red
100449175,Vintage Ludwig No. P40 Super Sensitive Screwdriver Drum Key,Ludwig,Vintage Ludwig No. P40 Super Sensitive Screwdriver Drum Key,1960s-1970s,Excellent,25.00,USD,Drugan's Drums & Guitars ,https://reverb.com/item/100449175-vintage-ludwig-no-p40-super-sensitive-screwdriver-drum-key
100449173,Vintage 1960s Gretsch Drum Tuning Key & Rail Consolette Hex Wrench,Gretsch,Vintage 1960s Gretsch Drum Tuning Key & Rail Consolette Hex Wrench,1960s,Excellent,59.99,USD,Drugan's Drums & Guitars ,https://reverb.com/item/100449173-vintage-1960s-gretsch-drum-tuning-key-rail-consolette-hex-wrench
100195365,"NEW Gretsch Streamliner CVT Corvette - Black, Support Small Business and Buy Here! Ships Fast!",Gretsch,Streamliner CVT Corvette,2026 - Present,Brand New,249.99,USD,Capital City Guitars,https://reverb.com/item/100195365-new-gretsch-streamliner-cvt-corvette-black-support-small-business-and-buy-here-ships-fast
100195334,"NEW Gretsch Streamliner CVT Corvette - Aged White, In Stock and Ships Fast! Pro Set Up Out The Door!",Gretsch,Streamliner CVT Corvette,2026 - Present,Brand New,249.99,USD,Capital City Guitars,https://reverb.com/item/100195334-new-gretsch-streamliner-cvt-corvette-aged-white-in-stock-and-ships-fast-pro-set-up-out-the-door
100449148,Erica Fusion Analogue Delay & Chorus,Erica Synths,Erica Fusion Analogue Delay & Chorus,2010s,Excellent,394.00,USD,Rocky Mountain Shop,https://reverb.com/item/100449148-erica-fusion-analogue-delay-chorus
100449118,Used Way Huge Doom Hammer Fuzz Pedal - Grey,Way Huge,Doom,,Very Good,125.00,USD,LaVonne Music,https://reverb.com/item/100449118-used-way-huge-doom-hammer-fuzz-pedal-grey
100449116,G3 Drumworks 14x6.5 Bloodwood Stave Snare 2026,G3 Drumworks,14x6.5 Bloodwood Stave Snare,2026,Excellent,600.00,USD,G3 Drumworks,https://reverb.com/item/100449116-g3-drumworks-14x6-5-bloodwood-stave-snare-2026
100449122,"Vintage 60s Ludwig Baseball Bat Snare Drum Muffler Tone Control Mute, Red Felt",Ludwig,Baseball Bat Muffler,1960-1964,Very Good,80.00,USD,Stickwithjesus33,https://reverb.com/item/100449122-vintage-60s-ludwig-baseball-bat-snare-drum-muffler-tone-control-mute-red-felt
100448202,Behringer X-DANTE 32-Channel AD Expansion Card for X32,Behringer,X-DANTE 32-Channel AD Expansion Card for X32,2010s,Excellent,449.00,USD,Musik Reflection,https://reverb.com/item/100448202-behringer-x-dante-32-channel-ad-expansion-card-for-x32
100449167,"6ft Low-Noise Guitar & Instrument Cable – 1/4"" Cord for Electric Guitar, Bass, Pedals, Amplifiers & Keyboards",Unbranded,Other,2026,Brand New,42.99,USD,Efficient Gear Emporium,https://reverb.com/item/100449167-6ft-low-noise-guitar-instrument-cable-1-4-cord-for-electric-guitar-bass-pedals-amplifiers-keyboards
100442609,"used Fairfield Circuitry The Barbershop V2, Excellent Condition with Box!",Fairfield Circuitry,The Barbershop V2,,Excellent,219.99,USD,Guitar Effects Pedals Nashville Showroom OPEN TO THE PUBLIC,https://reverb.com/item/100442609-used-fairfield-circuitry-the-barbershop-v2-excellent-condition-with-box
100448978,Fender Justin Meldal-Johnsen Road Worn Signature Mustang Bass 2019 - Present - Black,Fender,Justin Meldal-Johnsen Road Worn Signature Mustang Bass,2019 - Present,Excellent,1400.00,USD,Ziggy's ,https://reverb.com/item/100448978-fender-justin-meldal-johnsen-road-worn-signature-mustang-bass-2019-present-black
100448924,GOYETTE Flemenco 2013 - Cypress,GOYETTE,Flemenco,2013,Excellent,849.00,USD,Ken's Gear Outlet,https://reverb.com/item/100448924-goyette-flemenco-2013-cypress
100449153,Mythos Pedals Golden Fleece Mini Fuzz 2010s - Yellow,Mythos Pedals,Golden Fleece Mini Fuzz,2010s,Excellent,105.00,USD,John’s Shop,https://reverb.com/item/100449153-mythos-pedals-golden-fleece-mini-fuzz-2010s-yellow
100449166,Takamine GD90CE-ZCNAT Dreadnought CW Spruce/Ziricote Natural A/E Acoustic w/Gig Bag,Takamine,GD90CEZC,,Brand New,1049.00,USD,UpFront Guitars LLC,https://reverb.com/item/100449166-takamine-gd90ce-zcnat-dreadnought-cw-spruce-ziricote-natural-a-e-acoustic-w-gig-bag
100449141,"Yamaha MSD1455-AMS Sensitive Series 14x5.5"" Maple Snare Drum 2000s - Amber Sunburst",Yamaha,"Sensitive Series 14x5.5"" Maple Snare Drum",2000s,Excellent,359.37,USD,ARK Music,https://reverb.com/item/100449141-yamaha-msd1455-ams-sensitive-series-14x5-5-maple-snare-drum-2000s-amber-sunburst
100449154,Roland UM-ONE mk2 USB MIDI Interface 1-In 1-Out Tested with Package,Roland,UM-ONE mk2 USB MIDI Interface,2010s,Good,45.00,USD,regolis music gig,https://reverb.com/item/100449154-roland-um-one-mk2-usb-midi-interface-1-in-1-out-tested-with-package
100447527,*Limited Edition* Dan Donegan (Disturbed) Signature Series Electric Guitar * Washburn Maya,Washburn,"Dan Donegan DD70 / DD60 / 10,000 Fists",2000's,Good,650.00,USD,Tone Locker,https://reverb.com/item/100447527-limited-edition-dan-donegan-disturbed-signature-series-electric-guitar-washburn-maya
