id,titulo,marca,modelo,ano,preco_valor,moeda,condicao,data_criacao
98036091,Fender Fender Stratocaster w/Pau Ferro Neck MIM Stratocaster 2019 Sunburst 2019 - Sunburst,Fender,Fender Stratocaster w/Pau Ferro Neck MIM Stratocaster 2019 Sunburst,,575.00,USD,Excellent,2026-06-09T14:29:24-05:00
93231483,Fender 70th Anniversary American Professional II Stratocaster 2023 - Present - 3 Tone Sunburst,Fender,Fender Stratocaster American Professional II Stratocaster,,1543.22,USD,Excellent,2025-11-21T14:45:19-06:00
98211647,Fender Stratocaster ST-110FIM Iron Maiden Signature Stratocaster 2001 - 2002 - Black,Fender,Fender Stratocaster ST-110FIM Iron Maiden Signature,,1650.00,USD,Very Good,2026-06-14T15:36:40-05:00
94485799,Fender Fender Stratocaster Highway One HSS 2009 2009,Fender,Fender Stratocaster Highway One HSS 2009,,1578.62,USD,Excellent,2026-02-13T07:27:21-06:00
87893985,Fender Fender Stratocaster 2000s? - Black laquer,Fender,Fender Stratocaster,,775.00,USD,Excellent,2025-03-13T03:38:21-05:00
99580863,Fender Fender Stratocaster with Orig early 90's Eric Clapton Model Electronic 2000 - Red,Fender,Fender Stratocaster with Orig early 90's Eric Clapton Model Electronic,,944.88,USD,Excellent,2026-07-20T14:19:08-05:00
86290325,Fender Stratocaster 50th Anniversary Edition 2004,Fender,Fender Stratocaster 50th Anniversary Edition,,1998.00,USD,Very Good,2024-12-20T16:44:53-06:00
99733669,Fender Standard Stratocaster with Billy Corgan Pickups,Fender,Fender Stratocaster Standard MIM,,550.00,USD,Good,2026-07-25T11:26:33-05:00
94263602,Fender Player II Modified Stratocaster with Maple Fretboard 2025 - Present - 3-Color Sunburst,Fender,FENDER Stratocaster Player II Modified 3Tone Sunburst,,1027.59,USD,Excellent,2026-01-29T10:22:30-06:00
95822347,Fender 60th Anniversary American Series Stratocaster 3TS,Fender,Fender Stratocaster 60th ANNIVERSARY AM SRS STRAT 3TS,,1734.84,USD,Very Good,2026-04-09T11:39:15-05:00
99844563,Fender Stratocaster Str-75r Electric Guitar Made in Japan Gold Floyd,Fender,Fender Stratocaster Str-75r Electric Guitar Made in Japan Gold Floyd,,1006.99,USD,Very Good,2026-07-28T20:38:50-05:00
99524047,FENDER Stratocaster Player HSS - Special Limited Edition - 2022 Made in Mexico - Shell Pink,Fender,FENDER Stratocaster Player HSS - Special Limited Edition - 2022 Made in Mexico - Shell Pink,,899.48,USD,Excellent,2026-07-18T12:22:39-05:00
88453523,Used Fender Stratocaster California - Fiesta Red,Fender,Fender Stratocaster California - Fiesta Red,,1199.00,USD,Very Good,2025-03-29T09:26:50-05:00
99717496,FENDER Stratocaster HSS Player II Modified - Chitarra Elettrica,Fender,FENDER Stratocaster HSS Player II Modified - Chitarra Elettrica,,1100.29,USD,Brand New,2026-07-24T20:03:02-05:00
95498028,FENDER Stratocaster American Professional II RW - 2021 - 3T Sunburst,Fender,FENDER Stratocaster American Professional II RW - 2021 - 3T Sunburst,,1772.50,USD,Excellent,2026-03-27T13:10:21-05:00
100266269,Fender Fender Stratocaster Player 1995 - Yellow/Creme with Kinman Hendrix PIckups,Fender,Fender Stratocaster Player,,1065.56,USD,Very Good,2026-08-08T08:30:01-05:00
98152701,Fender Stratocaster Player TPL OCCASION,Fender,Fender Stratocaster Player TPL OCCASION,,796.11,USD,Excellent,2026-06-12T08:01:24-05:00
94946618,Fender Stratocaster Player Ii,Fender,Fender Stratocaster Player II,,879.39,USD,Very Good,2026-03-10T10:59:32-05:00
92666791,1994 Fender Strat Deluxe Plus,Fender,Fender Stratocaster Deluxe Plus,,1595.00,USD,Very Good,2025-10-17T14:51:39-05:00
99624611,Fender Stratocaster Plus - Olympic white (faded) with 1978 neck 1978 - 1984 - Gloss,Fender,Fender Stratocaster Plus - Olympic white (faded) with 1978 neck,,971.79,USD,Good,2026-07-21T18:52:30-05:00
90173127,Fender Stratocaster VG Mexico,Fender,Fender Stratocaster VG Mexico,,1350.93,USD,Brand New,2025-05-21T12:12:51-05:00
84635576,Fender Stratocaster 1983,Fender,Fender Stratocaster 1983,,1775.93,USD,Brand New,2024-09-13T11:14:04-05:00
